,ma_san_pham,prediction,binh_luan,ten_san_pham,diem_trung_binh,prediction_label
11,422216416,0,"Trước khi thoa nên apply một lớp kem dưỡng mỏng trước, thoa tới đâu thấm tới đó cực thích, nếu không có lớp kem dưỡng hơi khó tán, lớp finish đẹp cả ngày k xuống tông, da dầu dùng ok.",Combo 2 Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
12,422203146,0,"Apply lên da thấy có nâng tông xíu, cảm quan mịn đẹp kh rít bết. Mùi thơm thoang thoảng khá oke, kiềm dầu tạm. Được tặng kèm tuýp srm Hada Labo 20g nữa lalala=))",Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Hồng),4.8,positive
13,224100019,1,"Apply lên da thấm nhanh, ko bết rít, có tâng tone nhẹ sau khi apply. Sau khoang 6-8 tiếng ngủ dậy thì da mặt ko hề đỗ dầu miếng nào luôn. Cảm giác kem có kiềm dầu hay s đó. Nói chung mới sài thấy đã lắm","Kem Dưỡng Hada Labo Sáng Da Chuyên Sâu, Giảm Thâm Sạm 50g",4.7,negative
14,213300003,0,"Apply lên da nhanh thấm, làm da trắng hồng lên tone thiệt sự. Bị cái bôi lên hơi nghe mùi cồn, sau đó cỡ 1-2p mới tan đi và nghe mùi thơm nhẹ. Chắc do da mình hơi dầu nên nó hơi nhờn 1 xíu",Sữa Chống Nắng Bioré Sáng Hồng Tự Nhiên SPF50+/PA++++ 30ml,4.7,positive
15,100210015,0,"apply trên nền da ẩm nha các bạn, buổi sáng dùng em này trước KCN. Là da khỏe cho nguyên 1 ngày. Với bạn nào da dầu, mụn --> thì chỉ cần serum HA là đủ","Serum Timeless Hyaluronic Acid Cấp Nước, Dưỡng Ẩm Da 30ml",4.8,positive
16,422218905,0,"auto da khô, cần căng bóng là dùng em này chân ái luôn",Mặt Nạ Sur.Medic+ Cung Cấp Multi Vitamin 30g,5.0,positive
17,422209045,0,"Make up xong xài e này auto ko bị nổi mụn, sạch dữ thần",Nước Tẩy Trang Swiss Image 3 Trong 1 Sạch Sâu 400ml,5.0,positive
18,422203609,2,Lúc trước xài Avene Cicafate nhưng do Hasaki đứt hàng nên chuyển qua e này. Cài cũng tốt tương đương nhưng cái mùi hương cực kỳ khó chịu. Phải nó ko có mùi là đạt 5,Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml,4.7,neutral
19,223600035,0,"Thấy Baifern PR trên Instagram nên cũng dùng thử xem sao , hồi trưa mới dùng tẩy son velvet tint thì thấy tẩy sạch sẽ lắm luôn nên là ưng","Nước Tẩy Trang Senka Cấp Ẩm, Dưỡng Sáng Da 230ml",4.8,positive
20,318900002,0,cho em hỏi cái này xài chung với vitamin c balance dk ko ạ?,Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.5,positive
21,422211183,0,"mình mua chai xanh biển dành cho da dầu và mụn. Tẩy rất sạch, k cay mắt, k nhờn rích mềm da nên rất thích. dùng đc mấy tháng rồi mới quay lại review cho các bà đây",Nước Tẩy Trang Garnier Dành Cho Da Dầu Và Mụn 400ml (Mới),4.7,positive
22,100220035,0,"Sau nhiều biện pháp cải thiện mụn đầu đen ở má và mũi như đắp mặt nạ đến các sp kem trị mụn nhưng ko cải thiện, mình đã chuyển qua dùng BHA này, sau 2 tuần da cải thiện hẳn, mụn đầu đen giảm, lỗ chân lông thu nhỏ hơn. Mọi người nhớ xài kem chống nắng nữa nha.",Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,4.9,positive
23,422201822,0,"Cuối cùng t cũng đã tìm được e btt chân ái của mình áaa, ta nói nó mịn gì đâu, còn kh bị xơ như mấy hàng trc đó t dùng. Da t là da mụn nên gặp được em này thì dùng sướng ôi thôi r.",Bông Tẩy Trang LilyBell Lilian Puff Cotton 222 Miếng,5.0,positive
24,100230069,1,Dùng btt của Silcot rồi k muốn dùng của thương hiệu khác,Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng,4.9,negative
25,100150059,0,"cũng bthg thui thấy làm dịu da oke xịt cho mát cũng ok, đối với da mình thì cấp ẩm ở mức trung bình thui, xịt xong makeup cũng ổn nhé",Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 150ml,4.6,positive
26,224100009,1,"Buồn quá sử dụng bị ko hợp, mặt nổi mụn nước li ti lung tung, chắc mình ko hợp với HA ùi",Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,4.8,negative
27,422207150,1,Rất buồn vì đã mua phải sản phẩm quá kém như vậy.,"Mặt Nạ Banobagi Dưỡng Sáng, Làm Săn Chắc Da 30g (Tím)",4.8,negative
28,223600035,1,mình dùng lâu nay okie nhưng khá buồn vì sau đợt đổi bao bì và công thức đến nay da mình dùng bị kích ứng nổi mụn li ti nên phải đổi loại khác,"Nước Tẩy Trang Senka Cấp Ẩm, Dưỡng Sáng Da 230ml",4.8,negative
29,204100019,0,"Bàn skincare ở nhà toàn chai Eucerin, chai srm Pro Acne này mình mua là lần thứ 4 nên không phải nói nhiều về chất lượng nữa. Da mình thuộc loại dầu mụn nên sẽ chọn những loại srm dịu nhẹ và lành tính.",Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 200ml,5.0,positive
30,205100137,0,"mình đã dùng khá nhiều chai cho loại này không có gì để bàn cãi, giá rẻ, nên mua . 5 sao","Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",4.7,positive
31,204900013,0,Các bác dưỡng ẩm kĩ r oánh và tán đều tay nha vẫn vệt nếu da khô như thường,Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
32,231100005,1,"bác sĩ da liễu chỗ khác kê cho tui, mà da liễu đó bán mắc quá nên tui mua bên hasaki, tui xài chắc 5-6 lọ hoặc hơn rồi í, da đang kích ứng hay nóng khó chịu, xài dịu liền (da tui là da mụn nhạy cảm, hỗn hợp nửa khô nửa dầu); túm lại, da nào khó ăn khó ở xài rất hợp.","Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",4.7,negative
33,204100018,0,"Sau khi được bác sĩ da liễu kê toa và sau 2 tuần sử dụng, mình cảm thấy da đỡ nhờn hơn, cảm giác lỗ chân lông có phần được thu nhỏ lại. Mình nghĩ có thể do em này giúp hỗ trợ làm sạch sâu lỗ chân lông, loại bỏ dầu thừa nên lỗ chân lông của mình tiết dầu điều độ hơn, da có vẻ khỏe hơn và không bị nổi thêm mụn mới. Những vết thâm mụn cũng mờ hơn hẳn, mụn cũng giảm rất nhìu, kiềm dầu tốt nhưng không quá gây khô da. Nói chung sẽ mua lại, các bạn cũng nên dùng thử em này của nhà Eucerin!",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,positive
34,100180113,0,"Bác sĩ khoa thẩm mĩ da BV đã liễu TP HCM cho bôi kem này khi lazer , dịu nhẹ tức thì, rất hiệu quả.",Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,4.4,positive
35,345800027,0,mình xài thấy bám sát lắm nha.. dán từ sáng chiều về gỡ cái lên cồi luôn khỏi nặn,Miếng Dán Mụn Some By Mi 18 Miếng,4.6,positive
36,345800027,1,"Bám sát da, có tác dụng giảm sưng, có tác dụng chống bụi bẩn. Và hết. Mình trải nghiệm sau 2 ngày thì mới đánh giá nhé! Thực sự nó không có gì giống như quảng cáo hết trơn. Sau đó mình vẫn phải gỡ ra cho mụn nó lên mủ rồi mới lấy nó đi. Không thì để hoài nó cũng không hết thật luôn.",Miếng Dán Mụn Some By Mi 18 Miếng,4.6,negative
37,318900002,0,"Mình vote 4 sao vì nó khó bám da, phải vỗ thật lâu mới khô trên da, mờ thâm mụn tốt",Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.5,positive
38,226200018,0,"bám quá chắc, đi học rửa mặt, tát nước ầm ầm mà không hề thấy bị rớt ra, hay thật chứ",Miếng Dán Mụn Acnes Giúp Giảm Mụn Sưng Viêm 24 Miếng,4.8,positive
39,422204863,0,bé vãi chưỡng,Set 3 Dao Cạo Lông Mày KAI Lưỡi Đơn Cán Ngắn CAML-3P4,30.0,positive
40,422200236,0,Chai 10ml be bé xinh xinh. Hy vọng xài hiệu quả nhanh trên da,Kem Chống Nắng MartiDerm Phổ Rộng Bảo Vệ Toàn Diện 40ml,5.0,positive
41,422201374,0,bé xíu nhưng tẩy ổn lắm ạ,Tẩy Da Chết Môi Cocoon Từ Cà Phê Đắk Lắk 5g,4.8,positive
42,422208977,0,"Sao nay bao bì lạ, với lại made in China vậy ạ??",Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 236ml,4.9,positive
43,308100018,0,"Bao bì sản phẩm cầm chắc tay, mình dùng trên da khá ổn, mình sẽ mua lại sản phẩm này.",Mặt Nạ Cocoon Bí Đao Giảm Dầu & Mụn 30ml,4.9,positive
44,422207826,0,"Bao bì sản phẩm rất đẹp, cầm chắc tay. Chất kem mỏng nhẹ, trong suốt, thấm nhanh vào da. Mùi hương rất dễ chịu. Tổng quan sản phẩm rất tuyệt vời với mức giá phải chăng.",Combo Kem Dưỡng Neutrogena Cấp Nước Cho Da Dầu 50g+15g,4.5,positive
45,422202579,0,"Bao bì chắc tay, texture nhẹ, dễ thấm, hiệu quả làm đều màu da trên 2 tuần, gần hết hủ sẽ thấy nền da sáng khỏe hơn, ít đổ dầu vào buổi sáng, da nạp ẩm đủ vì thế sẽ luôn trong tình trang da căng bóng mướt mướt ok.Bảng thành phần lành tính không có cồn, chiết xuất làm trắng sáng da tương đối nhiều nên sẽ phù hợp với nhiều loại da","Kem Dưỡng Angel's Liquid Dưỡng Sáng Da, Mờ Thâm Nám 50ml",4.5,positive
46,223600034,0,bao bì được đóng gói rất cẩn thận. rất hài lòng về dịch vụ của hasaki.,Tinh Chất Chống Nắng Senka Nâng Tông Sáng Mượt Da Dầu 50g,4.6,positive
47,422205053,0,Bao bì đẹp và nặng chắc tay nhé❤️‍,"Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml",4.5,positive
48,204100018,1,"bao bì đẹp thôi, xài cũng thấy bị lên mụn chứ k phải dạng đẩy mụn. da thâm nhưng cũng k thấy sáng lên mấy. sẽ k mua lại",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,negative
49,249500019,0,"Mua vì thấy bao bì đẹp và nhiều người review, để dùng thử rồi quay lại đánh giá sau",Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),4.4,positive
50,201600198,0,"da trung bình, khô đánh rất hợp, như 1 lớp trang điểm nhẹ nhàng. Tốt",Kem Chống Nắng Vichy Chống Bụi Mịn Cho Da Dầu Mụn 50ml,4.2,positive
51,422215409,1,"Da trung bình ,nhưg đánh lên qá sáng ,mau xuống tone ,tạm được thôi",Phấn Nước Lime Kiềm Dầu No.10 Pink Vanilla Da Trắng Sáng 20g,40.0,negative
52,222600014,0,"Sài cũng bth nhưng nhanh hết quá, xịt vài lần hết tiêu dòiii",Nước Xịt Khoáng Bio-essence Dưỡng Da Ẩm Mượt Mịn Màng 100ml,4.8,positive
53,422211231,0,"Bình thường thấy rén acnes lắm,cứ thấy acnes là nhớ đến chai srm,nhưng mà e này lại là 1 câu chuyện khác,một cực phẩm,tôi ước j đc biết e này sớm hơn thôi,giá mềm,dạng sữa dễ tán cực,mùi tràm trà thoang thoảng dễ chịu.Ncl xài lên da tôi êm lắm,ko bị nổi mụn,thích nhất cái khoản thấm nhanh,lên tone tự nhiên.Giờ nó thành chân ái của tôi r,tôi ko còn muốn đổi loại nào nx:>","Sữa Chống Nắng Acnes Ngăn Ngừa Mụn Cho Da Mụn, Nhạy Cảm 50g",5.0,positive
54,422207810,1,"cũng bình thường à, hong có thấy giảm dầu, ngừa mụn thì mờ nhạt lắm chắc 5/10 k mua lại, được cái btp k gây kích ứng đối với da mình nên dùng lau mặt buổi sáng oke","Toner Milaganics Hoa Cúc & AHA Ngừa Mụn, Giảm Dầu 250ml",4.6,negative
55,422217292,2,"xài e này bth rất ok, finish đẹp nhma một hôm quên dưỡng ẩm là bị khô da bong tróc đồ luôn (nhẹ)",Combo 2 Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 25g,4.8,neutral
56,422207810,0,"xài thấy bình thường ko hiệu quả gì rõ rệt, mùi ko thơm lắm","Toner Milaganics Hoa Cúc & AHA Ngừa Mụn, Giảm Dầu 250ml",4.6,positive
57,206400011,2,mình xài thấy bình thường không trắng cũng không giảm lão hóa là bao. Hũ olay niacinamide trắng hơn,Kem Dưỡng Olay Ban Ngày Ngăn Ngừa 7 Dấu Hiệu Lão Hóa 50g,4.6,neutral
58,100540040,0,"cũng bình thường, mùi thơm siêu cấp thơm nma không đủ đô với da môi mình, sẽ hong mua lại",Son Dưỡng Môi Nivea Chuyên Sâu 4.8g,43.0,positive
59,248700027,0,"Bình thường mua sản phẩm này gần 400k đợt này deal quá Hot nên mình có ghé Hasaki mua vài chai để dành. Loại này mình sử dụng được 2-3 năm rồi về độ tiện dụng như có thể xịt lên lớp make up để bảo vệ da tối ưu và cấp ẩm, xịt lên tóc, lên body và sử dụng được cho trẻ em trên 6 tuổi nữa",Xịt Chống Nắng Naris Cosmetics Dưỡng Sáng Da 90g,4.8,positive
60,422202579,0,"Mình bình thường rất thích các sản phẩm dưỡng trắng vì nền da mình chỉ bị sạm chứ không có mụn nên thường thích trải nghiệm nhiều dòng sản phẩm khác nhau. Thì mình mới phát hiện ra được 1 dòng kem mới của Angel's Liquid. Bình thường mình dùng kha khá sản phẩm của hãng này thì thấy lần này ra dòng mới thế nên đi mua dùng thử xem sao. Sau đây là những review cá nhân của mình sau 1 khoảng thời gian mình dùng: - Bao bì: thì dòng kem cũ với dòng kem này khá giống nhau về bao bì cũng là trắng đơn giản, thông tin sản phẩm được in đầy đủ trên vỏ hộp, nhưng đợt này mình thấy thiết kế mềm mại hơn nên nhìn cũng bắt mắt - Chất kem: mình thấy chất kem hiện tại lỏng lỏng, đặc hơn lotion 1 tẹo, thoa lên da tan khá nhanh, không cần lực miết da nhiều, nhẹ mặt, không bị bóng dầu sau khi thoa. Mùi hương cũng nhẹ nhàng không khó chịu - Hiệu quả: Mình thấy dòng này tốc độ dưỡng trắng khá cao, sau 10 ngày mình thấy da mởn ra mướt mịn hơn, còn đến hiệu tại thì trắng bật tông rõ rệt thì không hẳn nhưng sáng hẳn luôn. Nói chung cực kì ưng ý","Kem Dưỡng Angel's Liquid Dưỡng Sáng Da, Mờ Thâm Nám 50ml",4.5,positive
61,422209444,1,"Khá bình thường, không có gì đáng để khen ngợi.",Tẩy Tế Bào Chết Môi Mediheal 10ml,4.3,negative
62,100180113,0,s mình dùng thấy bị bí da lên mụn v ạ .hic hic,Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,4.4,positive
63,422205673,2,"Kem bí và ít thấm vào da như quảng cáo, thoa lên nặng mặt và có lớp nhờn, thạch nghệ thấm và thoáng hơn",Kem Dưỡng Cocoon Dạng Thạch Bí Đao Giảm Dầu & Mụn 30ml,4.6,neutral
64,422216487,0,da căn bóng rất thích,Combo 2 Sữa Rửa Mặt Vichy Dạng Gel Làm Sạch Sâu Da Dầu Mụn 50ml,4.8,positive
65,422219308,0,"Bóng lắm mn ơi, kháng nước tốt lắm luôn. Nâng tông ổn lắm, giá rẻ. Da mình dầu mụn dùng khá thích tại mình thích căng bóng của hiệu ứng kcn này",Combo 2 Sữa Chống Nắng Sunplay Bảo Vệ Vượt Trội 70g,4.9,positive
66,422214342,0,"bôi lên hay bị bệch trắng, mỏng nhẹ dễ chịu, lỗ chân lông thu nhỏ đáng kể , ko sáng da lắm","Serum Bye Bye Blemish Phục Hồi Da, Se Khít Lỗ Chân Lông 30ml",4.7,positive
67,422204028,1,"Mua về bôi mà thấy chán lắm , dùng đc mấy lần rồi bỏ , bôi lên mặt bóng mà ko nâng tông trút nào",Kem Chống Nắng L'Oreal Mịn Nhẹ Kiềm Dầu Thoáng Mịn Da 50ml,4.1,negative
68,422212361,0,"Bôi lên da cảm giác mỏng nhẹ, tệp vào da không để lại vết , kiềm dầu tốt, nâng tone đẹp, thử qua rất nhiều loại chống nắng nhưng loại này là ưng nhất, giá lại hợp lí , có điều mùi hơi nồng .",Serum Chống Nắng Sunplay Ngừa Sạm Nám Dạng Sữa 50g,5.0,positive
69,422217967,0,"Bôi lên dịu da, mát da, da dầu mụn của T bôi rất ok thấm nhanh ráo mịn, mà mát da cực luôn. Da T là da siu siu dầu thì sáng ngủ d da vẫn đổ dầu nha","Kem Dưỡng Torriden Làm Dịu, Phục Hồi Da Bị Tổn Thương 80ml",5.0,positive
70,204100013,0,"Mới bôi mà hôm sau thấy da căng hẳn, chất kem bôi dễ, mỗi tội lâu thấm, cứ thấy rít rít,",Kem Dưỡng Ẩm Eucerin Chuyên Sâu Cho Da Khô 50ml,4.8,positive
71,204100013,0,"mới bôi lên thì nó hơi bết 1 chút xíu, ngủ dậy cảm giác mặt được cấp ẩm tốt nhen",Kem Dưỡng Ẩm Eucerin Chuyên Sâu Cho Da Khô 50ml,4.8,positive
72,318900002,1,Xài khá là ok. Khi bôi lên sẽ hơi nóng một xíu,Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.5,negative
73,422204231,0,lúc mới bôi lên da thì da hơi rít nhưng tầm vài phút sau thì thấm hết vào da cảm giác da khô ráo như không bôi gì luôn á kiềm dầu đỉnh phải nói là hợp cho da dầu mụn luôn mình thấy về độ thấm và kiềm dầu thì đỉnh hơn TO nhưng về hiệu quả trị thâm thì chưa biết vì mới dùng,Serum Balance Active Formula Ngừa Mụn Mờ Thâm 30ml,4.6,positive
74,318900002,2,Bôi lên da sẽ bị hơi xót và ửng đỏ 1 chút. Khả năng thẩm thấu lâu. Chưa thấy công dụng gì nhiều,Serum Klairs Vitamin C Cho Da Nhạy Cảm 35ml,4.5,neutral
75,249500007,0,"Khi bôi ko bị vón, và có cấp ẩm và kiềm dầu tốt nha. Bôi ko vón là mình thích rồiiii",Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,4.8,positive
76,204100018,1,"Lúc mới bôi lên mặt thì cảm giác rất nóng , 1 hồi sau lại hết nv thì có sao ko ạ",Kem Dưỡng Eucerin Giúp Làm Giảm Dầu & Mụn 50ml,4.6,negative
77,422204777,0,Bôi xong để lại 1 lớp dầu trên da khoảng 15-20p sau mới thấm hoàn toàn ạ Ko biết sao mình dùng cho vùng gần mắt thì dễ bị cay mắt lắm ah,Kem Chống Nắng Hatomugi Dưỡng Ẩm & Làm Sáng Da 80g,4.1,positive
78,256700012,0,"Bôi lên da mẻ, dễ chịu, mùi cũng dễ ngửi!",Gel Nha Đam Milaganics Dưỡng Ẩm & Làm Mềm Da 150ml,4.8,positive
79,248700035,0,"Tìm được chân ái. Bôi lên da mỏng nhẹ, mn biết cách tán sẽ rất đẹp, tệp vào da nhé. Nâng tone nhẹ thôi, 1 lúc sau da sẽ ửng hồng, nhẹ mặt",Kem Chống Nắng Naris Cosmetics Dạng Gel Nâng Tone Da 80g,4.7,positive
80,213300003,0,"Bôi lên rất nhẹ da, thêm phấn phủ thì từ sáng đến đêm kh bị xuống tone xỉn da lun ý =)) rất nên mua ạ Dạng sữa nên dùng hao nhanh hết nma giá thành cũng ok 9/10",Sữa Chống Nắng Bioré Sáng Hồng Tự Nhiên SPF50+/PA++++ 30ml,4.7,positive
81,422216352,0,"1 ngày mình bôi 3 lần toàn mặt mà gần 2 tháng chưa hết 1 tuyp, trộm vía da có giảm mụn, giảm tiết dầu, láng hơn, hy vọng sử dụng lâu dài hết sạch mụn luôn",Kem Dưỡng La Roche-Posay Giảm Mụn Hiệu Quả 40ml,4.9,positive
82,204900013,0,"Bôi từ sáng tới tối mà lớp finish vẫn rất khô ráo Mình apply trước 1 lớp serum HA và kem dưỡng rồi mới thoa kcn thì khá ok, k bị vón",Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
83,422216416,0,"Lúc mới mua ko biết cách bôi bị vón xong loang, lên xem chị Hà Linh chỉ cách bôi ko bị vón từ đó là mê lun ko đổi, da mình siêu nhạy cảm xài ko bị kích ứng gì hết, lớp fish đẹp, chống nắng tốt, kiềm dầu tốt, mồ hôi ra ko bị vệt trắng.",Combo 2 Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,4.6,positive
84,327500002,0,Bôi 4 ngày. Thật sự là vết thâm mụn mờ đi đáng kinh ngạc luôn. Chấm mụn thì khô cồi nhanh.,"Gel Dưỡng Megaduo Giảm Mụn, Mờ Thâm 15g",4.8,positive
85,200500095,0,"Dùng đã hơn 1 năm. Giảm thâm. Bôi qua đêm, sáng dậy có 1 lớp màng bảo vệ môi. Mong hasaki có thể bán thêm loại chai dung tích nhỏ có đầu bôi để tiện mang đi.",Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 20g,4.8,positive
86,422205345,0,"bôi lên thấy da cấp ẩm tốt, da mềm hơn thấy rõ, có kiềm dầu 1 chút, còn trắng da lên hay không thì mới dùng nửa lọ chưa thấy rõ lắm. Nhưng nói lại là đáng thử nha mng, bôi lên nhẹ da lắm, không nặng mặt hay bết dính","Serum Care:Nel Làm Sáng Da, Giảm Mụn Thâm 30ml",5.0,positive
87,422204947,0,Bông tẩy trang này mềm mà không bị rách Lần đầu dùng thử nhưng ưng lắm. Sẽ mua thêm,Combo 3 Bông Tẩy Trang Ceiba 100% Chất Liệu Cotton 140 Miếng,4.7,positive
88,422203301,0,đây là loại bông tẩy trang mình thích nhất từ tr đến g. vừa nhiều vừa rẻ vừa chất lượng.bông mềm k dày k mỏng. xài rất thích. bạn nào tẩy trang đậm thì nên chọn loại khác. mấy b nên thử mua 1 lần bao ghiền,Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng,4.6,positive
89,422200152,1,"Oki nha,mình mua bông tẩy trang được tặng 3 tuýp mini thôi mà dùng ưng quá chừng,sẽ mua thêm",Serum L'Oreal Hyaluronic Acid Cấp Ẩm Sáng Da 30ml,5.0,negative
90,207500008,0,"Xài loại này mới biết bông tẩy trang xịn là như thế nào: Bông rất mịn, lau mặt sạch, may đường viền rất đẹp, không xơ, lau lên mặt không bị chà xát gây rát như bông bình thường.",Combo 3 Hộp Bông Tẩy Trang Silcot Cao Cấp 66 Miếng,4.9,positive
91,422203807,0,"Đã dùng qua 1 số bông tẩy trang nhưng ưng ý nhất vẫn là của Ipek. Bông mềm, có 2 lớp, chắc chắn, không bị xơ ra khi lau mặt như những bông khác, giá ở Hasaki thực sự rẻ hơn so với những chỗ khác",Combo 2 Bông Tẩy Trang Ipek 150 Miếng,3.9,positive
92,422203927,1,Bút bị khô đầu cọ ko kẻ được gì,Bút Kẻ Mắt Nước Vacosi Siêu Lì Sắc Mảnh Màu Đen #01 5ml,32.0,negative
93,249400088,1,"bút mới giao, khui kẻ liền mà vừa kẻ gãy luôn, mn ko nên mua cây này đâu ạ, phí tiền lắm luôn",Chì Kẻ Viền Mắt Silkygirl Màu Đen 01 Blackest Black,37.0,negative
94,422203927,1,Bút này mực ra không đều. Mọi người cân nhắc nha.,Bút Kẻ Mắt Nước Vacosi Siêu Lì Sắc Mảnh Màu Đen #01 5ml,32.0,negative
95,249400219,1,"Bút vẽ lần đầu ra mực, lần sau ko ra hoặc chỉ ra nhạt màu xám rồi k ra mực tiếp nữa",Bút Kẻ Mắt Nước Silkygirl Lâu Trôi 0.5g,42.0,negative
96,345800002,0,"Em này dùng rất thích nha, bạn nào da siêu khó chịu dễ dị ứng như mình cũng có thể tham khảo em này. Hiệu quả chậm nhưng nhìn chung khá ổn, chỉ mỗi đề nghị hãng xem lại phần thiết kế sản phẩm, vòi ống bơm quá dễ bị hỏng khiến tinh chất dễ bay hơi.",Serum Some By Mi AHA-BHA-PHA Cho Da Mụn 50ml,4.5,positive
